S,right,left
S001,19.73316684564119,13.644301407480409
S002,17.28533178814834,14.866361887623945
S003,4.587128766930942,5.677079549502585
S004,5.823359047375377,8.635786863550338
S005,3.250691120873238,2.8573849057873417
S006,5.395753847616304,0.8565613479000778
S007,19.32474502739251,22.951938228840973
S008,-0.7449659846949225,0.7468623139855498
S009,7.812741479409172,7.5205439078469345
S010,8.682902490129832,12.377024434310156
S011,1.9162754756365616,6.074496432794057
S012,1.883984972920635,4.172996101803118
S013,15.905093234297478,29.55625110028396
S014,24.329919806714603,35.250448612559055
S015,12.29030211756017,3.9217689265647153
S016,3.1618600840214954,7.170412039078622
S017,30.86147108600611,10.874817255981819
S018,2.7572334028692396,3.740992083740937
S019,0.5531706835140533,12.022984370248551
S020,1.7942526647404262,-0.11492318448229061
S021,8.845089172021957,9.9655779846281
S022,7.267400594892579,12.53955175223878
S023,31.776623060214078,42.292926157282494
S024,13.592704010801139,12.651590870064208
S025,14.561636384765528,15.861398454244556
S026,1.5338481447176022,3.639541068374184
S027,43.69302164796033,60.925599724928226
S028,35.41350379312995,50.45298666237658
S029,16.320958739974948,15.04824403982431
S030,2.1945850923046706,1.347608217913158
S031,11.090048395464022,21.636765051182195
S032,8.829433205743634,5.507059874509471
S033,1.041502028640598,1.3836160577633656
S034,17.264340893212555,27.99365568912625
S035,17.75111117871954,8.616370673677796
S036,-2.3471718695102513,12.976013060177076
S037,1.9208692977957045,1.5804647789321202
S038,6.844529637938908,3.69496164622703
S039,5.598780935633755,1.5764174761813572
S040,3.024889418633404,3.194197691195926
S041,3.465895304695659,3.914304569314977
S042,18.192353976121286,7.383037992350442
S043,7.776991572446787,15.580391595559787
S044,40.85749798419444,51.809406030564915
S045,12.843895065818995,3.185863237032304
S046,-77.68769188975953,-7.559923199661832
S047,1.3655623972127717,1.5381606508687231
S048,71.69349262457904,110.21163897869964
S049,7.737239005101491,7.880800859468599
S050,3.0132212135048086,6.37657912271064
S051,1.5877946726014314,1.6524132886230385
S052,41.34491981070255,54.466091519491336
S053,16.795254954666937,17.627538044379605
S054,83.00911805021316,86.60973629949606
S055,4.103332806455227,5.039275455725442
S056,39.45583852046561,44.573268670545296
S057,8.272067829317441,16.070319157319215
S058,1.163667243627084,5.205772749512606
S059,16.461754041060395,17.2681709167484
S060,28.0893195255513,19.51545313988532
S061,-0.8721197620631713,15.230824374012203
S062,19.373351574867876,18.81556926110829
S063,4.57102422636051,3.6695438880801334
S064,4.409872745969807,7.636457614689081
S065,14.966314397884151,13.185252973223566
S066,3.41927012461179,-2.4305283618954063
S067,0.8885730606348853,1.250510851864551
S068,1.6705575089648306,9.46480828788655
S069,11.118995314620607,12.33804803162348
S070,-1.3640859532196645,12.340697830170855
S071,12.202884136380517,11.903081369057254
S072,7.407573414821261,10.688289218384071
S073,5.1701800544523016,3.4703831325850785
S074,7.353092418774224,6.982076228461669
S075,38.31873088021587,41.76791624048985
S076,7.568360037378861,6.5570761186140585
S077,25.178159762987757,29.248858153845315
S078,7.261736969441814,1.3882106106891
S079,3.318181525119289,15.079092030978511
S080,6.63145341088481,2.3279697891396727
S081,5.045913465700346,4.872016269403165
S082,6.802953620430685,6.9018506044898125
S083,50.249568663072175,68.87190406723602
S084,11.060966291926068,17.581533379512184
S085,9.268676421445775,10.46575352840513
S086,4.479712489752614,7.683705918005334
S087,5.546645225448283,14.825624862491349
S088,1.3731481769047982,-1.1162345442331285
S089,1.0199042949503365,0.7607355216685189
S090,23.215154120560793,19.384572986839256
S091,7.6137843867149675,14.289122108784387
S092,8.547556094536223,19.273941773431762
S093,9.576020806987517,10.167603075197034
S094,29.462641754487514,34.012483845114836
S095,-2.7940520832462665,4.329456413596781
S096,1.2331845471875098,17.167045842335764
S097,10.945545534602003,-5.340021705970258
S098,15.099686408986658,20.041735473342836
S099,14.745896878727455,39.64685529897754
S100,24.557888064097423,16.882924441306724
S101,3.450392592059028,11.084749034244533
S102,4.222868896137642,4.135997668150231
S103,-9.415790997620654,4.768119246564505
S104,18.067550110848607,11.609848756527363
S105,11.483210615817873,14.914363785217988
S106,25.33661156386895,25.812708545925318
S107,8.774059149655402,15.41397357400558
S108,29.472803480744403,20.181372023344053
S109,3.1844030393944096,2.8544762675646713
